公司代號,公司名稱,出表日期,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月,備註
6901,鑽石投資,1131117,21.96301600115005,-723448,-347.1379542808114,228438,-564557,其他,9.887284584675502,-2425489,-2185674,11310,營業收入為投資標的之評價損益(含已實現及未實現)，投資標的的股數及公允價值變動情形，請參考本公司網站投資人專區/財務資訊。
6902,GOGOLOOK-創,1131117,-15.606311008596194,84107,6.225587764325586,66821,70981,數位雲端,10.390908334985705,625364,690345,11310,-
6903,巨漢,1131211,13.479714229533984,152570,-16.54165782928099,207452,173136,其他電子業,1.9483574401244288,2597470,2648078,11311,-
6904,伯鑫,1131211,16.043709813600053,61588,5.118475047434144,67989,71469,其他,-2.4062051175956367,836213,816092,11311,-
6906,現觀科,1131117,-8.699530698522283,51566,-7.279029462738301,50776,47080,數位雲端,3.4794782010708247,285014,294931,11310,-
6913,鴻呈,1131211,3.7371020678353695,216023,40.95861114605611,158980,224096,電子零組件業,16.77698447890916,1671081,1951438,11311,無
6914,阜爾運通,1131117,-1.870374971503805,390403,2.2101452175328227,374817,383101,其他,9.342366404471816,3500323,3827336,11310,-
6916,華凌,1131117,-23.43033791706641,197001,-0.6827758756913352,151880,150843,光電業,-11.28084883169424,1910202,1694715,11310,-
6919,康霈*,1131117,-100.0,11116,-100.0,5058,0,生技醫療業,20.585201485352773,29084,35071,11310,本月健康食品銷售較去年同期減少。
6922,宸曜,1131211,-13.608892122161754,142958,40.43208823696629,87945,123503,電腦及週邊設備業,33.37862840541298,980975,1308411,11311,-
6923,中台,1131117,-30.054903235817896,135329,-10.450133393880911,105702,94656,綠能環保,61.264337576472464,927458,1495659,11310,本年度較去年度增加，主要係延續112年度中新增之環境工程業務，依工程進度認列收入較多所致。
6928,攸泰科技,1131117,22.515376266280754,110560,-66.05332604876484,399017,135453,電腦及週邊設備業,-48.239188334943584,3233452,1673661,11310,本月較去年同期減少，係因客戶需求遞延
6929,佑全,1131211,3.149158061320916,263499,2.4338676184051344,265339,271797,生技醫療業,4.930309278350515,2849375,2989858,11311,-
6933,AMAX-KY,1131117,61.61532399216329,315949,6.869848764540664,477798,510622,電腦及週邊設備業,-13.247716963291882,5013060,4348944,11310,-
6937,天虹,1131117,-17.741359169930597,145530,33.78968897034992,89477,119711,半導體業,18.33495908980062,1427028,1688673,11310,無
6949,沛爾生醫-創,1131117,-19.460390355912743,1742,-15.685096153846153,1664,1403,生技醫療業,0.5272838749233599,16310,16396,11310,-
6951,青新-創,1131117,-2.750382930696262,74426,70.28349605928715,42505,72379,綠能環保,43.858829117441964,395804,569399,11310,事業廢棄物清運量、塑木專案及勞務收入增加
6952,大武山,1131117,8.39430680021086,94850,-4.793125162055043,107988,102812,其他,14.875567759102578,895186,1028350,11310,-
6953,家碩,1131211,-10.180625508096844,107017,59.24784625579854,60360,96122,半導體業,5.566024824449662,1139844,1203288,11311,因客戶需求增加，使營收成長。
6957,裕慶-KY,1131117,-27.10870907472596,374127,54.306569343065696,176730,272706,其他,-9.516535924856198,3474405,3143762,11310,營收波動因各別客戶展店或汰舊換新時程影響，故使本期較去年同期增加。
6958,日盛台駿,1131117,-4.921629203299637,1020597,2.085759583226815,950541,970367,其他,11.930042762530356,8717211,9757178,11310,-
6967,汎瑋材料,1131211,7.129979582084365,92076,-7.800947778702085,106987,98641,電子零組件業,0.41935053464532834,1221651,1226774,11311,-
6968,萬達寵物,1131211,10.545677498467198,236495,16.968444223722535,223509,261435,居家生活,12.82815205892428,2314971,2611939,11311,-
6969,成信實業*-創,1131117,3.1390559159130724,21121,109.30053804765565,10408,21784,綠能環保,30.575694561531687,106758,139400,11310,本期因中科廠開始運作，故較去年同期增加超過50%
6988,威力暘-創,1131117,2.3178672345304885,73257,41.280582048478905,53054,74955,汽車工業,7.010140427834905,702140,751361,11310,-
6996,力領科技,1131211,11.318214766490629,231768,14.44997471454047,225426,258000,半導體業,11.058993398167372,2462801,2735162,11311,-
7402,邑錡,1131211,-10.60982215401282,44308,11.979078314956178,35370,39607,光電業,-7.714406966943005,511329,471883,11311,-
7556,意德士科技,1131211,27.327728951725895,47106,43.85178078906344,41695,59979,半導體業,20.88533834188891,472791,571535,11311,-
7584,樂意,1131211,2.3566598217453474,93013,120.62197297986235,43153,95205,文化創意業,72.66817963207887,532288,919092,11311,本月及本年度營業收入較去年同期成長，主要係受惠新上市遊戲以及取得Naddic Games所致。
7703,銳澤,1131211,17.969950392905748,182232,41.2950463032948,152149,214979,其他電子業,4.6017235125026295,1640255,1715735,11311,-
7708,全家餐飲,1131211,1.5237558861719935,191763,20.320012854900313,161806,194685,觀光餐旅,8.793388280401727,1992099,2167272,11311,-
8011,台通,1131117,-7.677335505655708,160811,-27.850807921273237,205775,148465,通信網路業,37.961257806789185,1559540,2151561,11310,-
8016,矽創,1131117,-3.8935954020529695,1589405,0.3752770551363542,1521809,1527520,半導體業,7.3078484667022385,13733536,14737162,11310,-
8021,尖點,1131117,-2.0595441798933583,322013,20.026259704673468,262760,315381,其他電子業,30.279563369835834,2228797,2903667,11310,-
8024,佑華,1131211,51.79584120982987,11638,-19.48407091746046,21941,17666,半導體業,-7.110741423497145,222410,206595,11311,-
8027,鈦昇,1131211,37.689880919816915,109674,20.11899743073729,125717,151010,電機機械,8.968582035795423,1353525,1474917,11311,-
8028,昇陽半導體,1131117,10.215234276322311,312729,26.572633063301925,272314,344675,半導體業,0.0005621317158930095,2846308,2846324,11310,-
8032,光菱,1131211,7.857643838095885,220995,23.365801649983954,193214,238360,電子通路業,3.4568756824976994,2516492,2603484,11311,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
8033,雷虎,1131117,-1.2656161476488155,104139,32.87800465236495,77380,102821,其他,25.332663636697742,816290,1023078,11310,-
8034,榮群,1131211,291.54337592468056,11896,-65.46887394634027,134887,46578,通信網路業,-55.08644894821532,614004,275771,11311,主係去年同期標案結案金額較高
8038,長園科,1131211,7.225154240689809,26906,-21.254469525343232,36637,28850,電子零組件業,-56.883118453104125,330882,142666,11311,配合客戶需求出貨
8039,台虹,1131117,-14.707098663251385,872939,-2.952907287444116,767210,744555,電子零組件業,25.472397082389758,6736335,8452241,11310,自結數尚未經會計師簽證，特此說明。
8040,九暘,1131211,7.145791287885553,55991,-3.828150048092337,62380,59992,半導體業,-10.133470507963354,655126,588739,11311,-
8042,金山電,1131211,7.849085387188423,285804,1.70488665984756,303070,308237,電子零組件業,7.406714380439372,2939333,3157041,11311,-
8043,蜜望實,1131211,7.405984187939896,403363,5.186537630440378,411874,433236,電子零組件業,-6.279018287407241,4544548,4259195,11311,-
8044,網家,1131211,38.84163086097628,3140795,-10.682031151588763,4882255,4360731,數位雲端,-9.203950468038602,37508872,34056574,11311,與去年同期差異數係會計科目調整(見113年6月6日重訊公告)
8046,南電,1131117,-11.881377546724046,2968814,-27.335950383266436,3600237,2616078,電子零組件業,-26.03255039602324,36541921,27029127,11310,-
